Player,PPG,Con,Form,W,D,F1 PR P,F1 Pos D
Ogbonna,3.6,1,0.7,0,0,0,11
O'Kane,1.5,1,0,0,0,1,-3
Okazaki,2.5,1,0.3,1,0,2,17
Okore,2.5,1,0.3,0,1,0,-13
Olsson,2.7,1,0.7,0,1,0,1
O'Neil,1.2,1,0.2,0,1,0,-17
Onomah,1,1,0,0,0,0,14
Oriol Romeu,1.6,1,0.3,1,0,0,1
Oscar,2.9,1,0.1,0,1,2,-1
O'Shea,1.7,1,0.2,0,0,1,-11
Ospina,3,1,0.1,1,0,0,2
Oularé,1,1,0,0,0,0,3
Oxford,1.8,1,0.1,0,0,0,11
Özil,6.3,1,0.7,1,0,13,2
Paredes,2,1,0.3,0,0,1,3
Payet,5.6,1,0.6,0,0,10,11
Pedro,3.9,1,0.4,0,1,1,-1
Pellè,3.6,1,0.2,1,0,14,1
Pereira,0.8,1,0,0,1,0,-2
Pieters,3.1,1,0.4,1,0,8,13
Pocognoli,0,1,0,0,1,0,1
Poyet,0,1,0,0,0,0,11
Prödl,2.5,1,0.2,0,0,2,3
Pudil,0,1,0,0,0,0,3
Pugh,2.6,1,0.1,0,0,1,-3
Puncheon,2.5,1,0,1,0,3,-1
Rafael,0,1,0,0,1,0,-2
Ramires,2.4,1,0,0,1,0,-1
Ramírez,2,1,0,1,0,0,1
Ramsey,4,1,0.4,1,0,3,2
Randolph,5.3,1,0,0,0,0,11
Rangel,2.5,1,0.5,0,0,1,-14
Rantie,1,1,0,0,0,0,-3
Redmond,3.2,1,0.5,0,1,1,-17
Reed,1,1,0,1,0,0,1
Reid,3,1,0.1,0,0,0,11
Remy,2,1,0,0,1,1,-1
Richards,2.5,1,0.3,0,1,2,-13
Richardson,1,1,0,0,1,0,-13
Ritchie,3.3,1,0.8,0,0,6,-3
Roberge,0,1,0,0,0,0,-11
Rodriguez,1.3,1,0,1,0,1,1
Rodwell,1.2,1,0.2,0,0,1,-11
Rojo,4.8,1,0.3,0,1,0,-2
Romero,5.3,1,0,0,1,0,-2
Rondón,3.4,1,0.6,0,1,2,1
Rooney,4.3,1,0.1,0,1,1,-2
Rose,0,1,0,0,1,0,1
Rosicky,0,1,0,1,0,0,2
Routledge,2.1,1,0.4,0,0,0,-14
Rudd,2.6,1,0.1,0,1,0,-17
Ruddy,2.4,1,0.2,0,1,2,-17
Ryan Bennett,2.2,1,0,0,1,0,-17
Sakho,3.3,1,0,0,0,2,11
Sako,3.6,1,0,1,0,0,-1
Samaras,0,1,0,0,1,0,1
Samuelsen,0,1,0,0,0,0,11
Sánchez,1.7,1,0,0,1,0,-13
Sanogo,0,1,0,1,0,0,2
Schlupp,1.8,1,0.1,1,0,8,17
Schmeichel,3.5,1,0.5,1,0,2,17
Schneiderlin,2.5,1,0.3,0,1,0,-2
Schwarzer,0,1,0,1,0,0,17
Schweinsteiger,2.5,1,0,0,1,2,-2
Senderos,0,1,0,0,1,0,-13
Sessegnon,2.8,1,0.4,0,1,0,1
Shaqiri,4,1,0.7,1,0,0,13
Shaw,5.4,1,0,0,1,0,-2
Shawcross,3.4,1,0,1,0,0,13
Sidwell,1,1,0,1,0,0,13
Sigurdsson,3.8,1,0.5,0,0,2,-14
Simpson,3.6,1,0,1,0,6,17
Smalling,4,1,0.1,0,1,1,-2
Solanke,0,1,0,0,1,0,-1
Soldado,0,1,0,0,0,0,14
Son,2.2,1,0.2,0,0,0,14
Song,2,1,0.2,0,0,0,11
Souaré,2.5,1,0,1,0,5,-1
Speroni,0,1,0,1,0,0,-1
Spiegel,0,1,0,0,0,0,11
Stambouli,0,1,0,0,0,0,14
Stanislas,3.5,1,0.2,0,0,0,-3
Stekelenburg,3.4,1,0,1,0,2,1
Surman,2.4,1,0.4,0,0,2,-3
Szczesny,0,1,0,1,0,0,2
Tabanou,0,1,0,0,0,0,-14
Tadic,4.2,1,0,1,0,2,1
Targett,4.8,1,0.4,1,0,0,1
Taylor,2.7,1,0.2,0,0,1,-14
Terry,2.7,1,0.1,0,1,1,-1
Tettey,2.3,1,0.1,0,1,2,-17
Tiendalli,0,1,0,0,0,0,-14
Toivonen,2,1,0,0,0,2,-11
Tomkins,3,1,0.1,0,0,1,11
Tomlin,1.3,1,0,0,0,0,-3
Tözsér,0,1,0,0,0,0,3
Traore,3.7,1,0.4,0,1,0,-1
Traoré,1.6,1,0,0,1,0,-13
Trippier,4.3,1,0.7,0,0,0,14
Turner,0,1,0,0,1,0,-17
Ulloa,2.2,1,0.3,1,0,1,17
Unavailable,0,1,0,1,0,0,17
Valdés,0,1,0,0,1,0,-2
Valencia,3.8,1,0.1,0,0,0,11
van Aanholt,3.5,1,0.4,0,0,0,-11
van Dijk,4.4,1,0.6,1,0,2,1
Van Ginkel,1.4,1,0,1,0,1,13
van Persie,0,1,0,0,1,0,-2
van Wolfswinkel,0,1,0,0,1,0,-17
Vardy,6.1,1,0.4,1,0,9,17
Varela,2,1,0.3,0,1,0,-2
Veretout,2.9,1,0.5,0,1,2,-13
Vergini,0,1,0,0,0,0,-11
Vertonghen,3.1,1,0,0,0,0,14
Vlaar,0,1,0,0,1,0,-13
Vorm,2,1,0,0,0,0,14
Vydra,0,1,0,0,0,0,3
Walcott,3.4,1,0.2,1,0,9,2
Walker,3.6,1,0.3,0,0,0,14
Walters,3.2,1,0.4,1,0,3,13
Wanyama,1.9,1,0,1,0,2,1
Ward,3.1,1,0.2,1,0,0,-1
Ward-Prowse,2.9,1,0.4,1,0,0,1
Wasilewski,-0.5,1,-0.1,1,0,0,17
Watmore,1.8,1,0,0,0,0,-11
Watson,2.3,1,0.4,0,0,2,3
Welbeck,4.8,1,0.5,1,0,0,2
Westwood,2,1,0.4,0,1,1,-13
Whelan,2.1,1,0.4,1,0,3,13
Whittaker,1.3,1,0,0,1,1,-17
Wickham,4.1,1,1.1,1,0,0,-1
Williams,3.4,1,0.5,0,0,1,-14
Willian,4.2,1,0.6,0,1,7,-1
Wilshere,0,1,0,1,0,0,2
Wilson,1,1,0,1,0,0,13
Wimmer,2.7,1,0.5,0,0,0,14
Winks,0,1,0,0,0,0,14
Wisdom,2.3,1,0,0,1,0,-17
Wollscheid,3.7,1,0.6,1,0,6,13
Yacob,2,1,0.4,0,1,1,1
Yedlin,2.5,1,0.4,0,0,1,-11
Yoshida,2.9,1,0.8,1,0,1,1
Young,2.1,1,0,0,1,1,-2
Zaha,2.7,1,0.3,1,0,5,-1
Zárate,2.7,1,0,0,0,1,11
Zelalem,0,1,0,1,0,0,2
Zouma,3.5,1,0,0,1,0,-1
