"Player","2006/07","2007/08","2008/09","2009/10","2010/11","2011/12","2012/13","2013/14","2014/15"
"Grealish","N/A","N/A","N/A","N/A","N/A","0","0","1","31"
"Clark","N/A","N/A","0","6","51","41","63","56","60"
"Kelly","N/A","N/A","N/A","1","42","43","6","5","65"
"Tomkins","N/A","7","51","51","41","50","87","72","N/A"
"Gardos","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","35"
"Sinclair","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2"
"Nordfeldt"
"MacDonald"
"de Jong","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","10"
"Lindegaard","N/A","N/A","N/A","N/A","0","44","26","7","0"
"Cazorla","N/A","N/A","N/A","N/A","N/A","N/A","205","128","168"
"Stekelenburg","N/A","N/A","N/A","N/A","N/A","N/A","N/A","48","N/A"
"Pienaar","N/A","90","119","116","66","83","141","69","18"
"Fulton"
"Bellerín","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","77"
"Britos"
"Lens"
"Delaney","N/A","N/A","N/A","N/A","N/A","N/A","N/A","117","57"
"Balotelli","N/A","N/A","N/A","N/A","55","97","27","32","N/A"
"Manu García"
"Ramírez","N/A","N/A","N/A","N/A","N/A","N/A","88","34","45"
"Ulloa","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","130"
"Lamela","N/A","N/A","N/A","N/A","N/A","N/A","N/A","14","93"
"Townsend","N/A","N/A","N/A","0","0","49","53","44","N/A"
"Filipe Luis","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","31"
"Costa","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","150"
"Schweinsteiger"
"Janmaat","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","118"
"Rojo","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","64"
"Ospina","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","76"
"Ilori","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0"
"Otamendi"
"Teixeira","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","0"
"Brunt","N/A","N/A","121","130","104","92","81","128","N/A"
"Kozák","N/A","N/A","N/A","N/A","N/A","N/A","N/A","42","0"
"Rafael","N/A","N/A","40","36","51","58","110","51","21"
"Schlupp","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","98"
"Nathan"
"Christensen","N/A","N/A","N/A","N/A","N/A","N/A","0","1","N/A"
"Martial"
"Pantilimon","N/A","N/A","N/A","N/A","N/A","0","0","25","123"
"Davis K","N/A","N/A","N/A","N/A","N/A","N/A","31","2","22"
"Gómez","N/A","N/A","N/A","42","28","88","60","81","N/A"
"Brady","N/A","N/A","N/A","N/A","N/A","N/A","N/A","51","59"
"Lennon","98","95","128","103","99","89","130","81","62"
"Sissoko","N/A","N/A","N/A","N/A","N/A","N/A","53","109","103"
"Wilson","N/A","0","2","62","56","68","46","82","63"
"Amat","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26","19"
"Chadli","N/A","N/A","N/A","N/A","N/A","N/A","N/A","58","160"
"Wanyama","N/A","N/A","N/A","N/A","N/A","N/A","N/A","42","80"
"Cullen","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0"
"Britton","N/A","N/A","N/A","N/A","N/A","81","67","58","15"
"Blind","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","82"
"Stambouli","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","12"
"Isgrove","N/A","N/A","N/A","N/A","N/A","N/A","0","0","1"
"Dembélé","N/A","N/A","N/A","N/A","81","86","78","65","49"
"Ward-Prowse","N/A","N/A","N/A","N/A","N/A","N/A","22","60","72"
"Chilwell"
"Westwood","N/A","N/A","N/A","N/A","N/A","N/A","83","100","55"
"Nyom"
"Schwarzer","115","106","175","139","113","116","135","22","19"
"Bolasie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","71","132"
"Payet"
"Huth","22","45","51","105","138","101","112","41","55"
"Ameobi","N/A","N/A","N/A","N/A","1","11","11","12","64"
"Wisdom","N/A","N/A","N/A","N/A","0","45","1","75","N/A"
"Given","64","39","144","131","0","96","4","0","7"
"Stones","N/A","N/A","N/A","N/A","N/A","N/A","0","59","82"
"Wimmer"
"Amelia"
"Croll"
"Blackman","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A"
"Henry","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0"
"Skrtel","N/A","55","81","55","126","113","88","137","124"
"Souaré","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","15"
"Afellay"
"Boruc","N/A","N/A","N/A","N/A","N/A","N/A","63","125","0"
"Bridcutt","N/A","N/A","N/A","N/A","N/A","N/A","N/A","19","22"
"Wasilewski","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","72"
"Fellaini","N/A","N/A","111","72","56","105","168","47","89"
"Martin","N/A","N/A","N/A","N/A","N/A","83","96","78","N/A"
"Rantie"
"Roberge","N/A","N/A","N/A","N/A","N/A","N/A","N/A","17","0"
"Rangel","N/A","N/A","N/A","N/A","N/A","103","111","77","64"
"Arter"
"Rashford"
"Abeid","N/A","N/A","N/A","N/A","N/A","0","0","0","22"
"Bassong","N/A","N/A","55","78","35","11","121","83","N/A"
"Silva","N/A","N/A","N/A","N/A","144","184","147","151","191"
"Ward","N/A","N/A","N/A","8","123","90","N/A","N/A","N/A"
"Goss"
"Mutch","N/A","N/A","N/A","0","9","123","27","N/A","N/A"
"Okore","N/A","N/A","N/A","N/A","N/A","N/A","N/A","4","58"
"Arlauskis"
"Foster","109","7","9","37","153","140","105","92","98"
"Bogdan","N/A","N/A","0","9","56","N/A","N/A","N/A","N/A"
"Kenedy"
"McAuley","N/A","N/A","N/A","N/A","N/A","110","113","86","89"
"van Aanholt","N/A","N/A","N/A","2","0","3","84","N/A","N/A"
"Debuchy","N/A","N/A","N/A","N/A","N/A","N/A","24","93","23"
"Antonio","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A"
"Koné","N/A","N/A","N/A","N/A","N/A","N/A","140","5","24"
"Paredes"
"Cook"
"van Wolfswinkel","N/A","N/A","N/A","N/A","N/A","N/A","N/A","48","N/A"
"Albrighton","N/A","N/A","0","3","99","62","13","38","60"
"Iheanacho"
"Gueye"
"Odemwingie","N/A","N/A","N/A","N/A","171","114","72","92","8"
"M'Vila"
"Arnautovic","N/A","N/A","N/A","N/A","N/A","N/A","N/A","116","84"
"Gazzaniga","N/A","N/A","N/A","N/A","N/A","N/A","26","17","4"
"Olsson","N/A","N/A","71","62","105","87","82","32","N/A"
"Bigirimana","N/A","N/A","N/A","N/A","N/A","N/A","21","0","0"
"Sigurdsson","N/A","N/A","N/A","N/A","N/A","102","77","72","154"
"Aké","N/A","N/A","N/A","N/A","N/A","N/A","4","1","1"
"Courtois","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","121"
"Grabban"
"Toney"
"Allen","N/A","N/A","N/A","N/A","N/A","117","52","46","55"
"Nasri","N/A","N/A","112","83","134","134","86","155","78"
"Downing","120","166","103","77","163","79","100","85","160"
"Januzaj","N/A","N/A","N/A","N/A","N/A","N/A","0","82","31"
"N'Zogbia","40","86","91","146","167","91","65","0","58"
"Touré","131","115","107","93","76","40","44","46","25"
"Gabriel","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","16"
"Forestieri"
"Mignolet","N/A","N/A","N/A","N/A","83","121","140","132","149"
"Garbutt","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","3"
"Smith","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","0"
"Long","39","51","97","114","97","89","N/A","N/A","N/A"
"Gibson","N/A","0","12","40","21","39","57","1","14"
"Oscar","N/A","N/A","N/A","N/A","N/A","N/A","117","135","126"
"Mulumbu","N/A","N/A","8","110","98","77","94","25","N/A"
"Elliot","0","0","20","2","5","N/A","N/A","N/A","N/A"
"Barkley","N/A","N/A","N/A","N/A","0","7","7","112","75"
"Diouf","N/A","N/A","N/A","8","59","0","128","N/A","N/A"
"Deeney"
"Benalouane"
"N'Zonzi","N/A","N/A","N/A","79","43","90","81","88","111"
"Walker","N/A","N/A","N/A","7","51","140","114","103","27"
"Sakho","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","98"
"Brannagan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0"
"Valdés","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","11"
"Bertrand","N/A","N/A","N/A","N/A","4","13","47","30","140"
"Darlow"
"Deulofeu","N/A","N/A","N/A","N/A","N/A","N/A","N/A","60","N/A"
"Mertesacker","N/A","N/A","N/A","N/A","N/A","59","135","157","121"
"Fonte","N/A","N/A","N/A","N/A","N/A","N/A","68","149","139"
"Koscielny","N/A","N/A","N/A","N/A","85","103","88","155","120"
"Kompany","N/A","N/A","102","72","95","145","91","105","66"
"de Laet","N/A","N/A","6","6","0","20","44","N/A","N/A"
"Guédioura","N/A","N/A","N/A","34","21","9","12","6","N/A"
"Gray"
"Dier","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","93"
"Alderweireld","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","88"
"Eriksen","N/A","N/A","N/A","N/A","N/A","N/A","N/A","132","162"
"McArthur","N/A","N/A","N/A","N/A","21","77","82","79","N/A"
"Steven Taylor","93","75","76","45","52","44","17","24","N/A"
"Moses","N/A","N/A","N/A","29","42","140","56","33","66"
"Mariappa","33","56","79","25","N/A","N/A","N/A","N/A","N/A"
"Routledge","45","5","1","34","81","126","95","81","N/A"
"McCarthy","N/A","N/A","N/A","N/A","N/A","N/A","48","4","N/A"
"Coates","N/A","N/A","N/A","N/A","N/A","18","8","0","32"
"Vertonghen","N/A","N/A","N/A","N/A","N/A","N/A","136","91","90"
"Elia","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","40"
"Murray"
"Hutton","N/A","43","18","32","58","65","0","70","N/A"
"Iturbe"
"Rose","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0"
"Bentaleb","N/A","N/A","N/A","N/A","N/A","N/A","N/A","34","55"
"Blackett","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","16"
